Timestamp,Elapsed_Seconds,Capacitance
2025-11-25 12:10:14.428379,76.7308,-3.0
2025-11-25 12:10:14.481098,76.7836,-3.0
2025-11-25 12:10:14.527023,76.8295,-2.0
2025-11-25 12:10:14.582776,76.8852,-2.0
2025-11-25 12:10:14.623616,76.9261,-2.0
2025-11-25 12:10:14.681169,76.9836,-2.0
2025-11-25 12:10:14.723039,77.0255,-2.0
2025-11-25 12:10:14.779964,77.0824,-2.0
2025-11-25 12:10:14.829098,77.1316,-2.0
2025-11-25 12:10:14.882005,77.1845,-2.0
2025-11-25 12:10:14.926704,77.2292,-3.0
2025-11-25 12:10:14.971071,77.2735,-3.0
2025-11-25 12:10:15.025761,77.3282,-3.0
2025-11-25 12:10:15.083548,77.386,-3.0
2025-11-25 12:10:15.125577,77.4281,-3.0
2025-11-25 12:10:15.180740,77.4832,-3.0
2025-11-25 12:10:15.230715,77.5332,-4.0
2025-11-25 12:10:15.282939,77.5854,-4.0
2025-11-25 12:10:15.329061,77.6315,-4.0
2025-11-25 12:10:15.384944,77.6874,-4.0
2025-11-25 12:10:15.427132,77.7296,-4.0
2025-11-25 12:10:15.480683,77.7832,-4.0
2025-11-25 12:10:15.526897,77.8294,-4.0
2025-11-25 12:10:15.572217,77.8747,-4.0
2025-11-25 12:10:15.625533,77.928,-4.0
2025-11-25 12:10:15.675076,77.9775,-4.0
2025-11-25 12:10:15.731483,78.034,-4.0
2025-11-25 12:10:15.777936,78.0804,-5.0
2025-11-25 12:10:15.823771,78.1262,-5.0
2025-11-25 12:10:15.879310,78.1818,-4.0
2025-11-25 12:10:15.922292,78.2248,-5.0
2025-11-25 12:10:15.979662,78.2821,-5.0
2025-11-25 12:10:16.026656,78.3291,-4.0
2025-11-25 12:10:16.073173,78.3756,-5.0
2025-11-25 12:10:16.127431,78.4299,-5.0
2025-11-25 12:10:16.171726,78.4742,-4.0
2025-11-25 12:10:16.229387,78.5318,-5.0
2025-11-25 12:10:16.274587,78.5771,-5.0
2025-11-25 12:10:16.331286,78.6337,-4.0
2025-11-25 12:10:16.376114,78.6786,-4.0
2025-11-25 12:10:16.429195,78.7317,-4.0
2025-11-25 12:10:16.473530,78.776,-4.0
2025-11-25 12:10:16.521840,78.8243,-4.0
2025-11-25 12:10:16.577745,78.8802,-4.0
2025-11-25 12:10:16.623722,78.9262,-4.0
2025-11-25 12:10:16.678054,78.9805,-4.0
2025-11-25 12:10:16.729104,79.0316,-4.0
2025-11-25 12:10:16.769685,79.0722,-4.0
2025-11-25 12:10:16.825001,79.1275,-4.0
2025-11-25 12:10:16.880839,79.1833,-4.0
2025-11-25 12:10:16.923596,79.2261,-4.0
2025-11-25 12:10:16.979264,79.2817,-4.0
2025-11-25 12:10:17.024622,79.3271,-4.0
2025-11-25 12:10:17.078825,79.3813,-4.0
2025-11-25 12:10:17.127924,79.4304,-3.0
2025-11-25 12:10:17.171570,79.474,-2.0
2025-11-25 12:10:17.226786,79.5293,-2.0
2025-11-25 12:10:17.275437,79.5779,-1.0
2025-11-25 12:10:17.332262,79.6347,0.0
2025-11-25 12:10:17.374273,79.6767,1.0
2025-11-25 12:10:17.429957,79.7324,2.0
2025-11-25 12:10:17.472895,79.7754,3.0
2025-11-25 12:10:17.530170,79.8326,4.0
2025-11-25 12:10:17.574367,79.8768,4.0
2025-11-25 12:10:17.620004,79.9225,6.0
2025-11-25 12:10:17.674833,79.9773,6.0
2025-11-25 12:10:17.728405,80.0309,7.0
2025-11-25 12:10:17.771913,80.0744,7.0
2025-11-25 12:10:17.834055,80.1365,7.0
2025-11-25 12:10:17.875431,80.1779,6.0
2025-11-25 12:10:17.920742,80.2232,5.0
2025-11-25 12:10:17.982968,80.2854,4.0
2025-11-25 12:10:18.024371,80.3268,2.0
2025-11-25 12:10:18.081316,80.3838,0.0
2025-11-25 12:10:18.124327,80.4268,-1.0
2025-11-25 12:10:18.169263,80.4717,-3.0
2025-11-25 12:10:18.231619,80.5341,-4.0
2025-11-25 12:10:18.270033,80.5725,-4.0
2025-11-25 12:10:18.323756,80.6262,-4.0
2025-11-25 12:10:18.370951,80.6734,-4.0
2025-11-25 12:10:18.424598,80.7271,-5.0
2025-11-25 12:10:18.478809,80.7813,-5.0
2025-11-25 12:10:18.526121,80.8286,-5.0
2025-11-25 12:10:18.570824,80.8733,-5.0
2025-11-25 12:10:18.624090,80.9266,-5.0
2025-11-25 12:10:18.669908,80.9724,-5.0
2025-11-25 12:10:18.725720,81.0282,-5.0
2025-11-25 12:10:18.769740,81.0722,-5.0
2025-11-25 12:10:18.823776,81.1262,-5.0
2025-11-25 12:10:18.869792,81.1723,-5.0
2025-11-25 12:10:18.926200,81.2287,-5.0
2025-11-25 12:10:18.973310,81.2758,-5.0
2025-11-25 12:10:19.026846,81.3293,-5.0
2025-11-25 12:10:19.072398,81.3749,-5.0
2025-11-25 12:10:19.129219,81.4317,-5.0
2025-11-25 12:10:19.176910,81.4794,-5.0
2025-11-25 12:10:19.221915,81.5244,-5.0
2025-11-25 12:10:19.282384,81.5849,-5.0
2025-11-25 12:10:19.325002,81.6275,-4.0
2025-11-25 12:10:19.367706,81.6702,-4.0
2025-11-25 12:10:19.422881,81.7254,-4.0
2025-11-25 12:10:19.472869,81.7753,-3.0
2025-11-25 12:10:19.529461,81.8319,-2.0
2025-11-25 12:10:19.571357,81.8738,0.0
2025-11-25 12:10:19.629157,81.9316,4.0
2025-11-25 12:10:19.676085,81.9786,10.0
2025-11-25 12:10:19.717481,82.0199,15.0
2025-11-25 12:10:19.777797,82.0803,20.0
2025-11-25 12:10:19.822250,82.1247,25.0
2025-11-25 12:10:19.875888,82.1783,27.0
2025-11-25 12:10:19.917877,82.2203,27.0
2025-11-25 12:10:19.973560,82.276,27.0
2025-11-25 12:10:20.017040,82.3195,25.0
2025-11-25 12:10:20.072674,82.3751,26.0
2025-11-25 12:10:20.129241,82.4317,24.0
2025-11-25 12:10:20.179326,82.4818,24.0
2025-11-25 12:10:20.223098,82.5256,24.0
2025-11-25 12:10:20.279236,82.5817,24.0
2025-11-25 12:10:20.320174,82.6226,24.0
2025-11-25 12:10:20.377062,82.6795,24.0
2025-11-25 12:10:20.419709,82.7222,24.0
2025-11-25 12:10:20.663178,82.9656,24.0
2025-11-25 12:10:20.663224,82.9657,23.0
2025-11-25 12:10:20.663230,82.9657,22.0
2025-11-25 12:10:20.663236,82.9657,21.0
2025-11-25 12:10:20.864863,83.1673,18.0
2025-11-25 12:10:20.864903,83.1673,16.0
2025-11-25 12:10:20.864909,83.1674,15.0
2025-11-25 12:10:20.864913,83.1674,14.0
2025-11-25 12:10:20.876972,83.1794,14.0
2025-11-25 12:10:21.092875,83.3953,13.0
2025-11-25 12:10:21.092926,83.3954,12.0
2025-11-25 12:10:21.092938,83.3954,11.0
2025-11-25 12:10:21.092947,83.3954,10.0
2025-11-25 12:10:21.128422,83.4309,6.0
2025-11-25 12:10:21.174226,83.4767,10.0
2025-11-25 12:10:21.221545,83.524,10.0
2025-11-25 12:10:21.278064,83.5805,12.0
2025-11-25 12:10:21.318724,83.6212,14.0
2025-11-25 12:10:21.375144,83.6776,16.0
2025-11-25 12:10:21.420957,83.7234,17.0
2025-11-25 12:10:21.477027,83.7795,16.0
2025-11-25 12:10:21.522299,83.8248,14.0
2025-11-25 12:10:21.576364,83.8788,13.0
2025-11-25 12:10:21.623671,83.9262,14.0
2025-11-25 12:10:21.668616,83.9711,13.0
2025-11-25 12:10:21.723661,84.0261,10.0
2025-11-25 12:10:21.768155,84.0706,6.0
2025-11-25 12:10:21.823244,84.1257,0.0
2025-11-25 12:10:21.869538,84.172,-4.0
2025-11-25 12:10:21.921334,84.2238,-5.0
2025-11-25 12:10:21.976622,84.2791,-5.0
2025-11-25 12:10:22.023981,84.3264,-5.0
2025-11-25 12:10:22.070215,84.3727,-5.0
2025-11-25 12:10:22.124461,84.4269,-5.0
2025-11-25 12:10:22.169165,84.4716,-5.0
2025-11-25 12:10:22.226096,84.5286,-5.0
2025-11-25 12:10:22.272876,84.5753,9.0
2025-11-25 12:10:22.324601,84.6271,7.0
2025-11-25 12:10:22.368975,84.6714,8.0
2025-11-25 12:10:22.426366,84.7288,8.0
2025-11-25 12:10:22.475114,84.7776,8.0
2025-11-25 12:10:22.529902,84.8324,16.0
2025-11-25 12:10:22.570512,84.873,-5.0
2025-11-25 12:10:22.631697,84.9342,-5.0
2025-11-25 12:10:22.673043,84.9755,-5.0
2025-11-25 12:10:22.717961,85.0204,-5.0
2025-11-25 12:10:22.771472,85.0739,-5.0
2025-11-25 12:10:22.828248,85.1307,-5.0
2025-11-25 12:10:22.872607,85.1751,-5.0
2025-11-25 12:10:22.927716,85.2302,-5.0
2025-11-25 12:10:22.970968,85.2734,13.0
2025-11-25 12:10:23.026054,85.3285,7.0
2025-11-25 12:10:23.071911,85.3744,19.0
2025-11-25 12:10:23.130585,85.4331,8.0
2025-11-25 12:10:23.174956,85.4774,28.0
2025-11-25 12:10:23.219518,85.522,-5.0
2025-11-25 12:10:23.274094,85.5766,13.0
2025-11-25 12:10:23.317064,85.6195,2.0
2025-11-25 12:10:23.373512,85.676,11.0
2025-11-25 12:10:23.426369,85.7288,13.0
